,relateid,actual,predicted,age_confidence,type_confidence,desc,atlas_estimate,color
7326,207002,QGUU,OSTP,0.5016198067123843,0.7595061564163638,GRAVEL (COARSE),QCS,LIGHT   
7327,207004,OPDC,CJDN,0.9164376233929995,0.9994460695573179,ROCK,OPSH,GRAY    
7328,207005,OPDC,CJDN,0.9937238776619881,0.999060078257001,ROCK LIMEROCK,OPSH,WHITE   
7329,207006,QCUU,QCUG,0.9939600772996188,0.9899500369553356,CLAY,QSH,BLUE    
7330,207008,OPDC,CJDN,0.9879197444487511,0.995875132219216,LIMEROCK,OPOD,UNKNOWN
7331,207008,QCUU,OSTP,0.9644193882131428,0.9160513530061949,SHALE,UNKNOWN,UNKNOWN
7332,207008,QPUG,QPUU,0.9518479088787958,0.9998827622746154,GRAY CLAY & GRAVEL,QSC,UNKNOWN
7333,207008,QPUG,QPUU,0.9533336706031652,0.9996547031811638,"GRAY CLAY, GRAVEL, BOULDERS",QVT,UNKNOWN
7334,207011,QGUU,CSTL,0.7964744836498235,0.6327512912962187,GRAVEL AND ROCKS,QS2,UNKNOWN
7335,207014,QNUG,QWUG,0.9923254039340953,0.8655838467265903,SANDY MUCK,QSC,GRAY    
7336,207017,OPDC,QBUB,0.44667148685729446,0.9996631138995926,DOLOMITE,OPOD,TAN     
7337,207018,CTCG,CSTL,0.9978010411722836,0.7925630985143004,ST. LAWRENCE SANDSTONE SHALEY,CTMZ,BLU/GRN 
7338,207018,QGUU,OPVL,0.5706589117449374,0.9381143147077179,GRAVEL,AFSI,DARK    
7339,207020,OSCJ,CJDN,0.5005729869604844,0.9981850780994311,SANDSTONE & SHALE,OSTP,YELLOW  
7340,207022,CMTS,PMSU,0.9816555590220529,0.9315654503545912,SANDSTONE,CMTS,GRY/BRN 
7341,207022,QLUU,QLUB,0.9879355045491164,0.9999456939514597,"CLAY, SAND",QSI,BROWN   
7342,207024,X,QUUU,0.9878679556295233,0.7411647383314441,PIT,QAT,UNKNOWN
7343,207029,RUUK,QUUK,0.9970579583206245,0.9867500753499641,TOP SOIL,QHT,BLACK   
7344,207030,OSTP,CJDN,0.8516993607482367,0.9895762315846321,RED SHALE,OSTP,RED     
7345,207033,OSTP,CJDN,0.790588869133057,0.997936882654793,SANDSTONE,OSTP,UNKNOWN
7346,207035,OSTP,QBUU,0.8303966052487367,0.7437172441111267,SANDSTONE,QSC,UNKNOWN
7347,207044,OSTP,CJDN,0.5790409389997296,0.9983528485042936,SANDSTONE,OSTP,UNKNOWN
7348,207074,QPUG,CSTL,0.7956883459881592,0.957794481598921,CLAY & GRAVEL,QF2,GRAY    
7349,207074,QLUB,OSTP,0.44690102720058145,0.9999954774316223,SHALE & SANDSTONE,QML,BROWN   
7350,207088,CJDN,QBUU,0.7108211974287159,0.9311096991229479,SANDSTONE,CJDN,YEL/WHT 
7351,207088,QGUU,CSTL,0.6072681133314353,0.472835750895378,STONES & GRAVEL (HARD),QF2,GRY/RED 
7352,207090,CSTL,CTCG,0.9954650489374529,0.6748693704458892,SHALE,CTLR,GREEN   
